comments,sentiment
iphone có những điểm trừ không thế khỏa lấp được,0
Chú Dương ơi cho con hỏi nên mua S24FE ko hay ráng lên mua S25FE theo chú có nên cố lên ko ạ con cảm ơn chúc chú nhiều sức khỏe,1
Chú ơi cho em hỏi bạn em đang bán iPhone 11pro 3tr mới phết em sợ ik thì chú tư vấn cho em nên chọn redmi 12 5g hay con iPhone này ạ,2
"Thực ra reno 10x zoom là ngoại lệ, reno là dòng cận cao cấp nhưng riêng 10x zoom là flagship",1
"Top 1 lí do lag máy android 2,3,4 triệu tầm thấp ifan kêu lag",0
Note 10 plus mua từ ngày ra mắt vẫn đang dùng đây.,2
Em chào anh. Chúc anh nhiều sức khỏe. Anh cho em hỏi có nên đổi từ 15prmax qua x300pro chính hãng không anh. Được và thiệt gì ạ,2
Mẹ mình mua vivo x80 pro ở trung dùng từ 2022 tới h bị mỗi pin chai với đầy bộ nhớ chứ dùng còn tốt chán,0
.,2
Câu hỏi đầu tiên nói lên nỗi lòng của nhiều người thanks!,2
"Anh ơi cho em hỏi điện thoại chính hãng của Xiaomi, Redmi,.. có bị chậm thông báo không ạ? Em định mua máy chính hãng để tránh lỗi này mà nghe nhiều người dùng nói máy chính hãng vẫn bị miss thông báo ạ. Em cảm ơn anh đã đọc ạ.",2
em sinh viên đang tính mua galaxy a36 nên ko mn tại nó có vẻ ổn định ngoài cái sọc màn,1
Từng mua huawei nova 5T cận cao cấp mua 8tr dùng hơn 5 năm ngon vl mà chỉ hỏng mỗi pin mà k có pin zin ( vì cấm vận nên k còn chính hãng) nên phải đổi,0
"Galaxy s9+ dùng tới giờ vẫn mượt mà, chỉ có điều là pin hơi hẻo...",1
Iphone 14prm từ giờ đến giữa năm 2026 có giảm không ạ nếu có thì giảm bao nhiêu? Cháu chúc chú nhiều sức khoẻ,1
sớm,2
"Máy cùng cấu hình nhưng 1 cái chính hãng có bảo hành với 1 cái xách tay giá rẻ hơn gần phân nửa giá mà bảo hành có hay không rồi bạn chọn cái nào, mua cái rẻ hơn nửa giá thì nếu hư thì giá của cái điện thoại lúc trước mua nó sẽ rẻ hơn lúc trước mua rồi vậy bảo hành để làm gì",2
"Mới nhận a56 mua shoppee, kiểm tra bảo hành điện báo không có, hỏi shop đky thế nào , shop không phản hồi. Giờ thế đky bao hành thế nào ae biết chỉ giùm. Tks",1
"Rất thích xem video của anh Dương Dê, ảnh nch rất chân thật, uyên bác 💯👌",2
Mình ko QT cái BH vì lỗi thì chưa gặp mà rơi hỏng thì bỏ tiền ra sửa 😅 có lúc ko rơi hỏng vẫn phiền khi đi bh,1
"Có sam bảo hành thấy ok. Mua điện thoại đắt tiền bền, thường là hỏng màn, mà hỏng màn thì thay đắt, thôi mua cái mới còn hơn.",2
Bảo hành bảo hiểm mua vì bắt buộc thôi chứ k có giá trị,0
"Chở hãng bảo hành giống như há mồm chờ sung rụng. Các hãng pia thời gian bảo hành để bán cho được điện thoại thôi, lúc bảo hành thì ối dồi ôi.",0
Dùng iPhone sáu plus tới iPhone 12 chưa bị vấn đề gì,2
"Anh ơi cho em hỏi điện thoại chính hãng của Xiaomi, Redmi,.. có bị chậm thông báo không ạ? Em định mua máy chính hãng để tránh lỗi này mà nghe nhiều người dùng nói máy chính hãng vẫn bị miss thông báo ạ. Em cảm ơn anh đã đọc ạ.",2
"Từng mang đt đi bảo hành , đợi 2 tiếng họ bảo máy lỗi do nhà sản xuất xong đổi cho máy mới , samsung s24U nha",0
=)) đúng sài 13 năm chưa phải bảo hành 1 lần,2
Thời điểm hiện tại hàng cũ chênh nhau 1tr5 zfold6 và s24 ultra 256gb a lấy con nào a Dương,2
Nói đến bảo hành thì tôi thấy TGDĐ và ĐMX là lòng vòng nhất,2
"Khi xảy ra vấn đề thì mới thấy bảo hành nó quan trọng như thế nào. Mình có thằng bạn xài Samsung, còn đúng 1 tuần nữa là hết bảo hành thì bị hư main. Hãng thay luôn main mới, ko tốn 1 xu.",2
"Tôi thấy bảo hành thì chỉ tầm 1 năm là ngon đối với đại đa số các dòng điện thoại hoặc điện tử. Rơi vỡ chỉ dành cho điện thoại giá cao, hoặc được sử dụng trong môi trường khá rủi ro như đi công trình, tài xế, vì nói chung điện thoại giờ khá bền quăng quật bình thường tầm 1 năm là không sao.",2
"a Dương ơi a so sánh Mi 15t pro và Mi 15 đi ạ,mặc dù Mi 15 phân khúc cao hơn nhưng mà về thông số máy e thấy 15t pro k hề thua kém mà còn có phần nhỉnh hơn",2
"Chào Anh, chúc Anh gia đình cùng ekip nhiều sức khoẻ, Anh có thể tư vấn cho em 1 chiếc đt chụp hình tốt, pin + hiệu năng khá, ram 256, mục đích sử dụng chỉ chụp hình xem video, có thể sử dụng 5-7 năm. Do hơi tham lam nhiều tiêu chí nên chưa chọn được đt nào. Cảm ơn Anh❤❤❤❤",2
Anh dương ơi chơi game nhiều cũng chụp ảnh cũng nhiều thì nên mua redmagic 10 pro hay s25 ultra ạ,2
Lũ giẻ rách mới quan tâm,0
"chào anh Dương, em hiện đang dùng S20FE, muốn nâng cấp lên S25 Ultra thì khoảng thời gian nào mua máy sẽ là hợp lý nhất ạ, hay là đợi dòng S26 ra mắt ạ? Nhờ anh tư vấn giúp em ạ, em cảm ơn anh nhiều. Chúc anh và gia đình nhiều sức khỏe.",1
"- Bản chất cái bảo hành là tốt, tuy nhiên các cửa hàng ở Việt Nam vận hành nó theo kiểu khôn lỏi, tìm mọi cách đổ lỗi cho khách hàng.
- Vậy nên trước khi mua cần tìm hiểu chính sách bảo hành của cửa hàng đó. 
- Ví dụ Mobile City, mình được mọi người khuyên là không mua gói BH Vàng vì nó vô dụng, lúc bị lỗi họ tìm mọi cách đổ lỗi cho khách hàng và cộng thêm Máy mới rất ít bị lỗi. Thành ra gói đó là vô dụng.
- Tổng kết: Tìm hiểu kĩ điện thoại đó có hay bị lỗi không ? ví dụ Ip13 Promax lỗi màn thì nên mua gói bảo hành. Cộng thêm tìm hiểu chính sách bảo hành của cửa hàng xem có thực sự hữu ích hay không ?",0
Được hãng nó bảo hành cho thì còn khuya,2
Điện thoại mới thì ít hư mà mặc định có bh còn điện thoại cũ thử mua con cũ mấy năm mà ko có bh vàng cho hơn 1 năm xem đến lúc hỏng có vỡ mồm ko. Samsung giờ bh vàng cũng toàn 9 tháng thôi.,0
anh dương ơi cho em xin phép hỏi 1 câu mong anh trả lời: điện thoại ít dung lượng như 64gb có làm ảnh hưởng đến trải nghiệm game không ạ ?,1
ok,2
Đéo quan trọng 😂,0
Đt có bảo hành đương nhiên là hơn không có rồi. Quan trọng là phải định giá các gói bảo hành xứng đáng với bao nhiêu % giá trị máy trong từng tầm giá. Trả lời chung chung như Dương thì nói làm gì.,0
"Tất nhiên là có còn hơn không, nhưng cá nhân em lại không đặt nặng vấn đề bảo hành anh Dương à. Thú thật em chỉ sử dụng flagship, mà em thấy có khi nào nó hư hỏng trong vòng 1 năm đâu, toàn hết bảo hành mới hư, thậm chí dùng cho đến khi thay máy mới cũng chưa hư. Thật sự như thế, những lỗi dễ hư hỏng nhất như vào nước, rơi vỡ... Thì thường không được bảo hành. Đó là chưa kể em hay thay điện thoại nữa, có cái nào dùng lâu trên 1 năm đâu. 😢",0
Anh Dương ơi. Em nghe đồn năm sau chip sẽ có tiến trình 2nm thì liệu có nên chờ thêm 1 năm nữa rồi mới nâng cấp đt ko ạ.... (Đang mê xiaomi 17 promax và   hóng tới 18 promax) 😳😳..... Em đang dùng máy nội địa xiaomi và khá chắc chiếc máy này vẫn dùng tốt trong 1-3 năm tới ạ,2
"Nhiều ông ví như bảo hiểm y tế, nghe buồn cười, vật so với người. Riêng t điện thoại hư nhẹ đi sửa nhanh lấy trong ngày, hỏng nặng bán luôn cho thợ rồi mua máy mới, chứ đem đi hãng hết cả tuần khó chịu lắm, chưa kể nhiều bên của hãng nta toàn đổ lỗi cho người dùng. đấy là lý do t không mua chính hãng, các gói bảo hành của shop vẫn suy nghĩ thêm chút coi cần không",0
Anh Dương cho em hỏi ở đâu giờ còn  bán 16pro 128 titan tự nhiên. Hỏi tất cả các hãng đều không còn. Mong anh rep,2
"Anh Dương ơi , em thật sự mong anh sẽ trả lời câu hỏi của em , đây là lần đầu em hỏi , em hỏi anh mấy video rồi , anh trả lời em với
Em đang dùng 1 chiếc 14prm gold 128 esim em đang phân vân có nên nâng lên 1 chiếc 16prm gold 256 kh ạ , em nhu cầu cơ bản kh chơi game chủ yêu tiktok fb . Em thích 16prm tại cái viền titan ít bám mồ hôi dấu vân tay trông đỡ bụi hơn con 14prm với lại nhìn nó cũng đẹp thật , nâng lên chắc phải thêm tầm 10 củ nữa . Anh thấy thế nào ạ , em phân vân cả tuần nay rồi , vì 10 củ cũng kha khá nên em cũng rất suy nghĩ , mà kh cứ nghĩ mãi cũng khó chịu kk . Mà trước đấy em dùng XSM 64gb vàng dùng 5 năm lên 14prm 128 này bán cũ lại đc 4tr và em em thêm 14tr nâng lên tận 4 đời . Mà bây h thêm 10 tr lên 2 đời nên h em phân vân , mà h em đang thích 16prm quá , anh nghĩ từ 14prm lên 16prm có xứng đáng kh ạ",2
Bảo hành làm gì nó 'hành' cho đủ thứ hỏng thay cái khác dù cùi hơn cũng.đc,0
Máy mới thì dell cần mua gói bảo hành làm gì cả. Dùng đến lúc Hỏng thì cũng hết bảo hành,0
"A Dương ơi, anh là người hiểu biết về công nghệ cho em hỏi 1 Cô gái Lào bị mất cắp 1 chiếc Ip 17 pro tại hoàng thành thăng long, CA họ đã làm gì mà tìm thấy chiếc điện thoại nhanh như thế ( khoảng 2h ) nếu là đt Androi thì có tìm đc ko?",2
Thời điểm hiện tại 10 triệu mua máy chính hãng nào ngon ạ?,1
"giống như bảo hiểm, bản chất thì tốt mà người làm chả ra sao cả. Mua hay không cũng vậy, còn rước thêm phiền.",0
Mai em mua red magic 9s pro like new có nên mua bảo hành Vip ko anh?,1
Sạc 120W tầm 300K thôi sếp,2
"Chào anh Dương.
Tư vấn giúp em 1 điện thoại android chính hãng hoặc nếu xách tay thì không bị chậm thông báo tầm giá 6 triệu.
Nhu cầu sử dụng mượt mà tác vụ bình thường (không game).",1
Tầm 10-12tr có máy nào ngon ko a ...❤,2
"Đối với điện thoại Samsung tầm trung hay tấm nền super amoled, việc cài đặt màn hình màu đen, tối màu, hình nền tĩnh lâu ngày có thể khiến màn hình bị sọc màu hay sao ạ??",1
"Anh Dương ơi giữa ip13 Promax và Ip15 thg thì máy nào dùng lâu dài ổn định hơn ạ,cám ơn anh và chúc anh nhiều sức khoẻ",2
năm 2018 tui đi bão hành samsung đúng là họ bão hành miễng phí nhưng mất 20 ngày 😂,0
Tôi thì có khoản bảo hành rơi nước thôi còn lại chả cần đâu toàn hết bảo hành mới hỏng,0
"Bảo hành mà bảo hành sao moi đc ? Như mua bảo hiểm xe 2 bánh ,mua thì đc,lúc thanh lại thì quên đj,",0
Cái quan trọng nhất là bảo hành phần cứng gồm những gì thì không để ý một số cửa hàng cố tình đánh tráo khái niệm 1 đổi 1 để lừa khách hàng mua máy đến khi hỏng thì lại quay ra đổi lỗi cho khách   bảo hành 1 đổi 1chỉ nói  chung chung phần cứng đến khi lỗi màn nguồn face id thì lại bảo bên em không bảo hành những cái đó tốt nhất là nên tìm hiểu kỹ trước khi mua tránh mất tiền lại rước bực vào người.,0
"mih có câu chuyện muốn chia sẻ hồi mih mua dt bên cellphones dc 3 tháng nhưng ko may mih bị làm rơi hư ic nguồn ở main đem ra tiệm thì họ bảo đợi mở ra xem thử ,nhưng bên kỹ thuật bên họ yếu kém hay jj đó họ chuyển qua bên dienthoaivui á mọi ng, thì họ báo lại là hư ic nguồn trên main ko sửa dc chỉ có thay main thôi nhưng giá main lại gần bằng giá cái đt r họ bảo mua mới , thì mih bảo ủa chứ hồi mua chỗ cellphones họ bảo là bảo hành rơi vỡ này kia nhiều lắm mà sao bây giờ báo giá bắt tôi trả tiền sửa chữa là như nào , họ im luôn cứ bảo thông cảm này kia rồi viện mấy cái cớ để tránh. nên mih khuyên các bạn đừng có ngu mà mua cái gói bảo hành này kia đụng chuyện mới thấy nó gian kể chi",0
"Ông dương lại xúi dại mua bảo hành 1 đổi 1, đồ điện tử cứ hết bảo hành thì nó mới hỏng, thì mua 1 đổi 1chỉ có lợi cho cửa hàng 😅😂",2
Ngày xưa khi bắt đầu xài đt cảm ứng thì tôi xài Nokia XL và Nokia lumia 520 - và galaxy a10 - rồi tới năm 2021 thì xài galaxy a52s5g và iPhone 13 xài hơn một năm - mà tôi giận người nhà đập nát iPhone 13 - còn a52s5g hết bảo hành thì bị bung nắp lưng - cũng vì nghe lời người quen kế bên mới mua a52s5g đó - mà hay thật sự- mình vừa bị bung nắp lưng xong được vài ngày sau đó- người mà xúi  mình mua Galaxy a52s đó thì bị sọc màn hình 2 sọc từ trên xuống dưới - con galaxy s21,2
Thôi gạch tên,0
Anh dương cho hỏi bao giờ samsung mới làm gaming phone 😂😂,2
❤❤❤,2
Vivo x300 trên shoppe có 16 củ rẻ thí,2
"Nay blackfriday trên shoppe mall của shopdunk s25 5g còn 13tr1 hàng new đã kích hoạt bh , có nên mua không ạ",1
Chọn oppo fx9,1
"A làm video camera ,độ bền, độ đáng mua giữa s24 ultra và xiaomi15t pro ạ,e đag phân vân mua ạ, chúc a sức khỏe, e cảm ơn ạ!",2
Loa của con vivo nghe như đấm vào tai,0
"Coi thông tin trên các web thì vivo x300 khung viền kim loại , còn oppo x9 khung viền nhôm",1
"Đã mua x300 tgdd cho bx và bx cầm rất thích , lúc đầu cũng lưỡng lự giữa oppo x9 , vivo x300 , ip 16 plus ra xem và trái nghiệm thì lựa chọn cuối cùng vivo x300",2
"Thử độ mượt và hoạt ảnh thì mình đánh giá oppo ngon hơn vivo , kể cả là phân khúc tầm trung và cao cấp, hoạt ảnh trên vivo nó k đã mắt, mình k phải fan 2 hãng này mà fan của xiaomi , nhưng nếu để lựa chọn 1 trong 2 thì khả năng cao mình vẫn chọn oppo . nhưng cả x9 và x300 mình đều thử dùng rồi thấy vẫn chưa ưng , thôi đợi sang năm mi17 về chính hãng vậy.
Rất thích màu LEICA , chụp kiến trúc và phong cảnh thì hết nước chấm, còn chụp người thì vợ mình vẫn chê , cần phải hậu kỳ chút xíu về da người mới đăng mạng xã hội được. Nhưng điều đó k quan trọng vì vợ mình đã có oppo cứu cánh khảng chụp người. Thì mình cứ LEICA chụp phong cảnh cho đã cái nư.",1
Em đang dùng Oppo Findx9 12 256 có nên nâng cấp lên Oppo  Findx9 Pro không ạ,1
"Anh Dương ơi, giữa con oppo find x8 vs vivo x300, em đg phân vân ko bt nên lựa chọn máy nào ạ , mong ah tư vấn dùm em. Cảm ơn ah, chúc ah ngày mới vui vẽ ạ.",2
Sao bên clickbuy rẻ hơn mấy chỗ khác nhiều vậy anh.mua online đảm bảo chất lượng ko nhỉ,1
"Em mới mua oppo find x9 512gb giá 21 củ . Anh nghĩ giá này đã hợp lý chưa,liệu trong tầm giá có iphone nào ngon hơn không ạ?",2
Ơ anh Dương nay trẻ thế 😝,2
từ iphone chuyển qua android bởi đúng 1 lí do là cài dc youtobe vanced.,2
Honor 500,1
ok,2
7tr máy màn phẳng . Flaship thỉnh thoảng chơi lq pupg chụp ảnh mong anh tư vấn . Chúc anh và gia đình nhiều sức khoẻ,1
"So sánh giữa 3 con:  Samsung S25 Ultra, Oppo Find X9 và Vivo X300 chính hãng đi anh Dương. So sánh mọi thứ, coi con nào là tốt nhất kể cả là thời gian sử dụng thực tế của pin.",2
A Dương ơi giửa poco x7pro và zte z60s pro thì nên mua máy nào a . E xem video và chơi call of duty mobile thôi a .So sánh giúp e với . E cảm ơn,2
"Mình muốn mua máy 10 triệu mà pin trâu, cam tốt, đủ để chơi liên quân thì nên mua máy gì vậy mn?",1
"8 triệu quay đầu điện thoại xách tay nào cam đẹp anh ơi, chúc anh nhiều sức khỏe",2
cmt bằng find x9,1
Giá cũng hơn 3tr,2
"con Findx 9 chính hãng không biết dùng có ổn định ko mọi người, định làm máy chính 🤔",1
"x9 thì thua so với x300, còn bản pro thì ngược lại. Mà hai con cx khá dễ chọn tại nhìn thiết kế phát là biết:))",2
Oppo fixn x9 anh gắn link ở video này có chính hãng không vậy anh tại em muốn mua mà thấy giá rẻ quá,2
"Giá con x300 rẻ hơn x9 tận 3 triệu mà. Nhưng cam có lẽ tương đồng. 
Nếu thích màn nhỏ thì x300 , màn lớn hơn tí , pin to hơn tí thì x9 , cá nhân mình thích dt nhỏ, và giá rẻ. Thì x300 màn nhỏ và rẻ hơn , chọn x300",1
"a tư vấn cho em đt Android tầm 10tr quay phim đẹp nét 4k 60fps đi ạ, cảm ơn a/ chúc a nhiều sức khỏe",2
Iphone ngày nay càng sx máy dày ra nhưng pin thì vẫn yếu như dòng thường và pro đã mua ip15 đập hộp tôi ko hài lòng về pin mới mua nhiều lần pin tụt một phát 3-4% chỉ chưa đầy 1p ko bt do pin hay gì nữa xài hàng ngày thì bình th,0
"Cháu chào chú, chú có thể so sánh 2 máy oppo find x8s plus và oneplus 13 không ạ? Cháu dùng cho quay video và chụp ảnh điều kiện thiếu sáng, chơi game ít ạ, ít lỗi, thông báo không quá trễ ạ. Cháu cảm ơn chú ạ",2
"So sánh xiaomi 15t pro với poco f8 pro mới ra đi a
Nhiều người quan tâm ạ",2
"Anh Dương ơi anh có thể hạn chế sử dụng nền trắng cho video được ko anh em hay xem video anh bằng tivi nên nhìn chói quá anh, em ko có nhu cầu gì về điện thoại nhưng vẫn thích xem video anh như 1 video giải trí. Chúc anh và gia đình mạnh khoẻ bình an.",2
"con x9 ngoài cục pin ra chả có kèo gì so với x300 cả. thua màn (BOE vs Tianma, LTPO vs LTPS), thua sensor ( HPB/IMX602 vs LYT808/IMX600), thua cổng USB (USB 3.1 vs USB 2.0). hiệu năng chip thì con x9 nhỉnh hơn tí do kích thước to hơn tản nhiệt dễ hơn. ko phải ngẫu nhiên mà doanh số x300 ở thị trường TQ chỉ xếp sau Apple với Xiaomi",0
"chào chú dương. cháu là sinh viên , cố lên đc 11triệu thì nên mua xiaomi 14t pro hay ip13 pro ạ. cháu chụp ảnh nhiều và thi thoảng có chơi vài game nhẹ.",1
😂 mãi mới thấy kèo này con vivo chìm khiếp,2
Chúc chú Dương ngày mới tốt lành! Dạ tầm giá 8-10tr thì mua điện thoại nào tốt v ạ. Nhu cầu cơ bản và chơi game nhẹ ạ. Dạ k quan trọng cũ mới và ưu tiên iPhone nhưng có điện thoại android nào tốt hơn k ạ?,1
Wow nay mặc áo kiểu nay trẻ ra mấy tuôi a à hihi😊😊😊😊,2
"Ra cửa hàng thì bị mấy chị tư vấn viên lùa thôi. nhưng mình trước đi mua con Tecno Pova 6 cho mẹ. Mấy chị tư vấn viên kiểu không muốn bán, xong cứ tư vấn dí mình con Redmi Note  13 với lý do là nó chạy chip Snap khoẻ hơn Helio",0
"Xiaomi 15 còn vô đối trong tầm giá k ạ?  Ưu tiên cam trước nét, nước ảnh thật",1
Giá thành chênh nhau khoảng 3 triệu đấy a ơi,2
"Mọi người cho em hỏi với nhu cầu sử dụng cơ bản, ổn định lâu dài, thi thoảng chơi game, ít lỗi vặt thì redmi turbo 4 pro có đáng mua không ạ, em khá thích thiết kế của nó",2
"Chào anh Dương.em đang cần mua máy tính bảng ,giá khoảng 10tr,nhu cầu chính là học họp online sử dụng lâu dài.
Mong anh tư vấn giúp em.Chúc anh và gia đình nhiều sức khỏe",1
Wow 😱 anh Dương nay lên đồ còn hơn ca sĩ luôn,2
Đang xem bang Samsung s25ultra ❤,2
"Wow lần đầu nhìn thấy a đăng hiện 5 giây trước,..",2
Lam clip  H 35 luôn anh,2
A cho xin bài test so sánh Motorola g86 power với Oppo k13 turbo pro ạ,2
Trải nghiệm 1 chút là nó bị nóng máy á,0
Tks kênh….,2
ngày xưa ông anh tôi có máy cũng hãng này đến lúc vỡ màn hình thì k có quán nào có,0
Điện thoại Motorola cua nước nào xoăn sức vậy ban,1
So với  A56 có hơn không .,0
Máy tàu đỉnh hơn về hệ điều hành,2
Khó đấu với mấy a Tàu đấy...,0
Mới đi trải nghiệm như đồ chơi con nít nó lắc thì thôi 😂😂,2
Ruột vẫn là trung Quốc thôi.,1
Nhin chất đẹp sang sài ko biêt sao,2
Mong chú Dương làm clip mở hộp luôn Motorola G35 5G đi chú,2
"Em đang có 25 triệu cần mua iphone dùng trong tầm 4-5 năm nữa thì hiện tại em nên chọn 15promax 256 cũ, 16pro 256 cũ hoặc 17 thường 256 new seal để sau này tầm 4-5 năm nữa ra iphone 20, 21 để có thể thu cũ giá cao nhất để lên đời ạ?",1
Nhìn rẻ tiền vkl,0
Bạn dương cho hỏi cụt sạc của điện thoại Motorola 86 power là 33 w mình có cụt sạc 68 w sạc cho điện thoại này được không bạn,2
Nhìn bên ngoài thấy nó cứ rẻ tiền kiểu gì ấy ae,0
Có lựa chọn bộ nhớ trong 256gb không ạ?,1
e e s dài,2
"giá này cứ quất poco x7 pro là ngon nhất rồi, kh con nào có thể vượt qua",2
"7 củ mà sạc 33 w hơi đuối, tec no pova 6 giá 4 củ đã có sạc 70 w",1
Iphone 17  fake,0
Nghe ông này hài vãi 😂😂😂,2
"cho bố link
muốn mua",1
Mo len xem dc mua ve xem phim kkk,2
Đừng nghĩ nó real mong nó đc ram  6 bộ nhớ 128 để xem phim bậy bậy cũng đỡ,0
"Má, cười bò luôn 😂😂😂",2
Bán e 5 xị đi anh 😂😂 về em phông bạc😂,2
kk,2
Dừng để bị lừa nha😅😅😅😅🎉🎉,2
"Chip 3nano gọi con này bằng cụ, nó tận 28nano cơ mà 😂😂😂",2
😂😂,2
"Sản phẩm rất tốt cho những ai ""quá tự tin"" để vênh mặt thoáng qua với người khác !!! 😂😂😂",2
"+1 video ""hài dón"" để xem giải trí",2
bác mua con này xong có trả hàng hoàn tiền ko vậy,1
"chủ shop đã xem và cười khểnh 😂😂😂,mé thằng này đã bị mình rồi",2
thời gian trôi nhanh thật hồi nào còn thấy anh đăng short sạc nhanh tóc còn đen mà giờ đã bạc hết đầu rồi,0
Lấy con về khè hàng xóm đc nè.,0
"Con này siêu lỏm fake , hàng nhái chuẩn xịn nó làm khác bọt lắm",0
Mua ve cho e pe choi cung dc😅😅😅,2
1 củ 4 8 gen 3 🥶,2
"Ai cx thừa biết điện thoại Apple đắt như thế nào, nên thay vì nói là bị lừa thì thật sự họ đang cố tình để bản thân bị lừa thì đúng hơn 😌😌😌",2
Anh ơi anh thử test cái đã mất island có cái con iPhone fake này đi,2
Cất nhà sáng chó anh kkkk,2
để lại em free nghịch với =))),2
viền mỏng phết :v,2
làm videos mà ghép hình này nhạc kia xem như cc,0
mua về nghe gọi cũng oách ấy chứ 😂😂,2
8gen 3 manh lắm nha manh nhat nhi chip 2025 bay gio nha,2
Mua đi phông bạc chs chs chắc ok lắm😂😂😂,2
T co con dien thoai vo la oppo zo thong tin dien thoai la samsung check device ra dien thoai khac  ram 1g android 5 bo nho trong 6gb😅😅,0
Mượt đấy chứ viền cũng mỏng hơn con redmi 9a siêu lag nữa 😂😂,2
Các bạn ơi chỉ cho mình với . Video clip khui kiểm tra hàng quay dài không úp lên shopee được phải làm,0
Trông phần cài đặt y như con BlackBerry đời xưa thật😂,2
1 triệu chắc mua được cái que chọc sim hoặc khay sim,2
"Xin cháo cook!
Đúng là xin chào xong cook luôn.",0
Sao anh không mua con fake loại 1 về quay mà mua chi con này,0
Hellocoll 😂,2
Vãi lồng thật sự chơi trò chơi để quay video cho ae à,0
1 sản phẩm made in cam...bu...chia😂,2
hi a,2
😂😂😂 china mãi đỉnh,2
"Nếu dùng lắp màn con này vào ip thật có được không anh 
Khi chẳng may ip hỏng màn 
Lắp dùng tạm, ko cần độ phân giải cao.
Miễn máy mạnh là đưowci",1
"Tyềng nằu kũa đó. Táo tằu nó rẽ bằng 1/10 tắo mỉ nêng không trắch đượt. Mà ipone tằu này trên shopee giá 37.000.000₫, có rẽ gì đâu.",2
thôi kệ chip ngon là đc:),2
Mua về chế cháo lại chắc cũng được😂,2
1tr7 là ngon r,2
Link trong mô tả toàn link cũ th a,0
Đầy đứa sĩ gái xem xong clip này đặt luôn và ngay 😂😂😂,0
Mấy máy này rất thích hợp cho những người làm đạo cụ phim hay hài kịch á,1
"Vãi, iPhone fake này mở mật khẩu quá đẳng cấp, Vân chân luôn mới chịu 😂😂😂😂😂😂",2
Mua xong quay video bóc hộp -> trả hàng hoàn tiền 100%,1
Snapdragon 8 gen 3 mà lag,0
Vân tay uy tín thật.😂,2
con này mua 5-700 về sĩ cũng dc :))),2
Bảo mật = ADN luôn ấy chứ 😂,2
Hàng fake mà màn hình còn mỏng hơn ss 10 tr 😂,2
"Dạo này hàng nhái đã ko còn chỉ mỗi Tàu nữa, mấy anh Ấn Độ h nhái cũng ác đạn lắm.",0
"REVIEW K BIẾT THÌ ĐỪNG REVIEW
NÓ LÀ I17 BẢN ADROI NÓ GHI IP17 REVIEW LẬY BỐ",0
Nhớ lại vụ con bé thu ngân quán kia bị dụ cầm con ip fake 3tr...😁. Đúng ko am hiểu đt cứ nghe iphone .Táo khuyết  là bị lừa...)).,0
Fake hay thật. Không để ý tưởng thiệt,2
Uy tín 😂😂😂,2
"1tr4 mà màn như thế, cằm mỏng vậy còn hơn khối con androi giá rẻ",0
Mới mua i17prm2t 3tr6 trên tiktok😂,2
.,2
Chiếc đt dành cho sĩ vương 🤡,2
Add dí Trim vào nó cũng mở ý,2
"Mày biết làm vậy những ng thiếu hiểu biết họ xem clip nhìn tiêu đề sẽ nghĩ bên sàn Shoppe làm ăn lừa đảo ko..?
Những ng họ vẫn bị những clip lừa từ xưa như giao cho cái gì đó bên trong",0
Vl lun kkk,2
"Nhấn trả hàng hoàn tiền, shopee nó hoàn tiền còn hàng thì shiper có khi ko thèm lại lấy hàng để hoàn trả luôn.",1
Bên tiktok shop cũng thế  để cái hình là IP 16 Pro Max còn cái tên thì để Realme 14 5G 😂,2
faker kiểu này ngoại hình đẹp mua cái táo dán lên nữa😂,2
Chip led bị bắt làm việc nhiều nhất cho pháp sư từ smart watch đến điện thoại fake 😂😂,2
Đỉnh cao công nghệ iPhone Android 🤡🤡,2
I17 pro max mini,2
1 củ 4 vậy là ok rồi. Bằng gía mấy cục gạch đòi hỏi gì hơn,2
Vậy mà nó có thể lừa được những người mù công nghệ,2
1tr4 viền vậy mỏng hơn ối con trong cùng tầm giá,2
6580 này phải từ 10 năm được trang bị máy dưới 2tr. Thời đấy đã bố của lag rồi,0
Này gọi công nghệ bảo mật bằng ADN,2
Bảo mật tốt nên cài áp ngân hàng 😂😂🤣🤣🤣,2
"Aiphon 17, một triệu tự điển thoại đểu của Trung Quốc",0
Làm video mổ bụng xem thử bên trong đi a Nam,2
Anh ơi anh review s20fe cũ được k a,2
Cái vân tay siêu đỉnh điều mà iPhone và sam sung không bao giờ làm được,2
vậy có trả hàng ko hay mất 1tr4 nhỉ :D,1
"5 năm trước cháu có mua 1 chiếc ss note10+ 2tr2 trên fb dùng được 2 tháng nằm trong thùng rác luôn,mới đầu mua về ra tiệm cầm đồ hỏi bán chú kia định mua lại 500k 😂",2
Nghĩ sài bán rẻ lại em nha anh 😅,2
Android 14 os 🗿,2
"1,4củ= dây đeo+ ốp lưng của ip17 riu",0
Có 1 củ 4 thì mua được điện thoại cũ màn AMOLED rồi anh 😅😅😅,2
"test game vs antutu đi
 anh",2
Cuối cùng cũng đợi đc anh mua con này 😂,2
Công nghệ vân tay 1 người ép tất cả người dùng 😂😂,2
