tokenized,sentiment
anh dương làm clip so sánh realmi gt pro với gt nội địa trung đi em đang phân vân giữa máy này,1
củ cấu hình thì gọi trung quốc bằng bốphèn quá phènmáy chính nghe gọi thì dkchứ nhu cầu xài game với coi phim nhiều chờ nó sạc đầy thì hơi mệt,0
anh dương ơi em có nên chờ iphone ra mắt để mua iphone mới không ạ em cảm ơn anh chúc anh và ekip nhiều sức khỏe,2
tư vấn mình định mua điện thoại tầm hơn tr giữa avà seomi nốt bản gi lên mua con nào ạ cảm ơn bạn,1
em chào anh dương em theo dõi anh cũng lâu lắm rồi mong anh có thể tư vấn cho em em muốn tìm một con macbok loanh quanh triệu ạ,2
s utra dùng được năm bị sọc màn hình nhiều người bị như vậy,0
hồi còn hỏi đi đáp luôn nghe anh dương tư vấn mua iphone chị đến bây giờ vẫn còn và để làm kỷ niệm chúc ae vui vẻ,2
anh cho em hỏi nhu cầu của em là xem live tiktok và quay màn hình lại thì nên chọn con máy nào xem đẹp và quay nét vậy ạ promax s ultra hay mi ultra hoặc tư vấn cho em con khác chính hãng hay xách tay gì cũng được ạ,2
samsung sọc màn sạc chậm không nên mua,0
tôi đang dùng iphone xem video này máy chính của mình là sa s ultra không hề nóng nhé,2
anh dương ơi poco x pro trong tầm giá tr có con nào hơn không ạ anh tư vấn cho em em cảm ơn,2
samsung là chúa tể lỗi màn hình ông hoàng sọc màn,0
pova được lên android hios rồi,0
helo chú dương và mọi người cho cháu hỏi xiaomi note turbo với redmi turbo con nào chơi game ngon hơn ạ cháu muốn vừa chơi vừa quay màn hình ạ mong chú đọc được và chúc chú sức khỏe ạ,2
tầm giá này mua con mi dùng ngon hơn nhiều,2
oke,2
anh dương ơi redmi turbo với redmi ke nên mua con nào chơi game ổn địnhchụp hình oke dùng lâu dài hơn anhvà trong tầm giá đấy có con nào ngon hơn con đó không ạ,2
anh ơi em muốn mua chiếc điện thoại trên tr chip gen hoặc ngang tầm không phải ios không phải s con nào chơi game ngon với dùng được lâu ạ nếu mà hàng xách tay thì em nên mua ở đâu cho uy tín ạ em cảm ơn anh,2
tầm giá triệu đỗ xuống con nào đáp ứng nhu cầu màn hình đẹpchơi gamexem phimchụp hình ổn hả anh dương,2
điện thoại cu samsungdung năm là chết màn thay khá nhiều tiền,0
cho mình hỏi con infinix note x g và infinix note pro con nào tốt hơn chúc kênh phát triển,2
chú dương ơi sắp tới honor sẽ ra mắt dòng điện thoại honor g chính hãng tại việt nam mong chú có thể làm video mở hộp và đánh giá chi tiết dòng điện thoại honor g sắp ra mắt chính hãng tại việt nam,2
em đang phân vân giữa mi t với anh với s utra các bác ạ mà trong tầm giá tr game thì lq và cũng không chụp ảnh nhiều,0
mình theo dõi kênh dương dê hơn ba năm và dường như không bỏ video nào vì tư vấn rất thật khen chê rõ ràng,2
nên mua redmi note pro g ở thế giới di động không ạ,1
oneway có uy tín không ạ,1
em đang dùng s utral dùng nóng lắm chơi game nhẹ hay lướt web nóng ran rồi sài được năm dính sọc sau tháng lên sọc,0
đầu tiên cháu chúc chú dương có thật nhiều sức khỏe chú dương ơi cháu theo dõi cũng lâu rồi trc chú có rewew về con sharp aquos rồi ý giờ giá con này là bao nhiêusử dụng ở thời điểm bh có ổn kh chú mong chú rep ạ,2
em đang sắp mua điện thoại s anh loại để sử dụng nó cho mục đích công việc có xem qua số so sánh với s fe nhưng cảm giác anh vẫn là quyết định nếu là anh thì anh sẽ có quan điểm gì và lựa chọn máy nào trong tầm tr mục đích sử dụng lâu dài,2
anh cho em hỏi em tính mua iphone pro theo anh thấy có nên cố găng thêm chút để mua prm hoặc pro không anh chúc anh nhiều sức khoẻ,2
xiaomi unlock ở tiệm điện thoại được không ạ,2
anh ơi màn hình hz của iphone có chơi tốt được những tựa game bắn súng fps không ạ,2
chú dương cho cháu xin ý kiến ạa cháu có triệu đổ xuống cần điện thoại phục vụ cho việc học nghe gọi và camera ổn kh chơi game khoảng hoặc gb thì càng tốt thế thì nên mua máy nào ạ hãng nào cũng được í cháu cảm ơn chú nhiều,2
s plus hơn,2
gen mới nóng còn gen thì không hề nóng nhé,1
em chào anh dương ạ theo anh thì tr em nên mua iphone xs hay mi để chụp hình quay video ạ nhu cầu của em chủ yếu cần chụp hình sản phẩm cận cảnh sản phẩm mô hình hay zom x không cần dùng làm máy chính em dùng redmi mấy năm nay quen rồi ạ em phân vân cả tuần rồi ạ mong anh giúp em chúc anh và gia đình sức khỏe công việc thuận lợi ạ,2
nhờ chú review điện thoại infinix note pro tại cháu tính mua ạ cháu rất tinh tưởng chú,2
em có tr mong muốn mua opo mong anh tư vấn con ngon nhaất nhu cầu em chơi game ít hay xem phim youtobe facebook mong anh tư vấn chúc anh và ekip nhiều sức khoẻ,2
chú dương cho con hỏi nhu cầu của con sử dụng điện thoại cho công việc chụp ảnh với chơi liên quân thì máy nào sẽ đáp ứng được nhu cầu của con ạ mong chú giải đáp giúp con ạ con cảm ơn chú nhiều,2
mua anh ram g rom dùng thấy ngon phết không ưng cái máy ảnh thôi opo chụp anh vẫn ảo và đẹp,2
chào anh dương em làm shiper công nghệ anh tư vấn cho em con điện thoại nào pin trâu với chụp hình đẹp xíu để chụp hình lúc giao hàng tài chính tr quay đầu nha anh cảm ơn anh và chúc anh nhiều sk,2
anh ơi tầm triệu mua máy gì ạ cũ mới đều được nhu cầu của em là chụp ảnh đẹpngoại hình đẹp cấu hình ổn dùng được cỡ năm nữa ạ mong anh trả lờicảm ơn anh,2
chú ơi cháu bình luận máy video rồi mà chú chưa cho bình luận cháu lên sóng cháu có tr muốn mua iphone cháu đang phân vân iphone gb và ipro bên clickbuy tác vụ cơ bản trong vòng năm tới và cần máy pin ổn xíu thì mik nên chọn máy nào ạ chúc chú nhiều sức khoẻ,2
chào anh anh cho em hỏi trong tầm giá tr nên chọn iphone prm hay ro như cầu của em là chụp ảnh các tác vụ hàng ngày ít chơi game mong anh tư vấn chúc anh và gđ tháng cô hồn đầy sk chúc kênh sớm đạt tr sub,2
sutra hiện còn khá là tốt tui đang dùng,2
anh dương ơi em đang tính mua chiếc điện thoại chính hãng cho mẹ dùng em đang phân chiếc samsung galaxy anh với redmi note pro g anh dương so sánh chi tiết và đưa ra lựa chọn hợp lý giúp em mẹ em chủ yếu dùng để nghe gọi zalofacebok nghe nhạc xem youtube với trong tầm tr thì còn điện thoại chính hãng nào toàn diện hơn điện thoại này nữa không ạ em cần anh tư vấn gấp để mua điện thoại cho mẹ em cảm ơn anh,2
con này với con iqo con nào oke hơn nhỉ,2
từ hôm nọ tới giờ mới thấy một video cảm thấy đúng content,2
up rom qt phát đã thực sự làm máy chính ngon luôn,2
ai dám nói là không bị chậm thông báo đâu tôi đang xài đây này nhiều lúc không hiển thị thông báo luôn chứ đừng nói là chậm,0
thiết kế xấu hơn one,0
iphone pro max tr vô đối nha,2
ap ngân hàng có dùng được không bạn,0
sang năm mà giảm giá xuống củ là quất luôn,2
mua mịa find x pro cho lành,0
cong la không thich roi,0
con này cẩm bẩn tay không bằng con turbo pro mà giá thì x lưng cảm giác không cao cấp viền nhìn giống đồ đốt cho ng âm,0
có lock sim không,1
màn có hz poling hz chơi game bắn súng fps bỏ đi,0
tưởng iqo,1
mẹ luôn rồi,0
cho mình hỏi pm xem anime tên gì,1
bút của huawei có tính năng dịch thuật tức thời như samsung không ạ mình muốn mua để học tiếng hàn không biết nên mua samsung hay huawei đây tks,2
bỏ tiền mua mua của nợ à vậy,0
còn một dòng x nữa,2
có dùng doc được không ạ,0
cho m hỏi m đang xem film trên web được mấy phút máy tự rơi vào chế độ ngủ và khoá máy thì cài đặt như nào vậy ad,1
màn này dán cường lực được không anh em nhỉ,1
t vẫn chọn ipad,2
tôi quan trọng với độ bền của máy hơn chứ dùng năm mà hỏng thì cũng vứt có mỗi ipad là thấy bền nhất chứ mấy cái máy của tq toàn hỏng sau khi hết bảo hành,0
nếu là tui mua cái laptop màn cảm ứng độ về nap hệ điều hành blis os chạy đa nhiệm sướng hơn tính ra còn rẻ hết pin cấm điện sài khỏi lo pin bàn phím laptop đánh cũng đã hơn ram ổ cứng nâng cấp thoải mái,2
mình bán bản pro newseal đủ phụ kiện giá tr,2
đang dùng bản bàn phím có đèn nền nữa thì tốt,0
hay,2
hay,2
con này giống magic pad ghê,1
mình mua bản mới ra của nó tuy nhiên bị khuyết điểm là mỗi lần cập nhật ap xong thì nó sẽ hiện thông báo lên rất phiền và liên quan đến gõ tiếng việt trên bàn phím mặc định khi sử dụng wps ofice rất khó chịu mình đang đợi nó cập nhật đến bây giờ,0
linh hồn của thiết bị smart là hdh đi theo và các ap đa dạng trên store chỉ cần hdh không thông dụng thị quần quốc tế tụt xuống chưa được màn có đep pin sài tuần chipramsd nó khủng cỡ nào thì đó chỉ có giá trị là màn hình di dộng không hơn không kém,0
cái viền màn hình nhìn phê quá trời,2
máy dùng cho công việc nhưng không hỗ trợ cài ap công việc thì suport kiểu gì,0
phải công nhận huawei rất tốt nhưng nó phù hợp với người dùng công nghệ hơn là người dùng bình thường gogle không hỗ trợ thì đã đòi hỏi người dùng biết nhiều về phần mềm biết cách seting nữa nên có thể nói nhiều mặt nó tốt hơn cả ipad nữa nên với mình thì hauwei như vậy nó gióng như là tính năng vậy,0
giá bao nhiêu nhỉ,1
tất cả thiết kế vẫn học theo aple hết nhìn kiểu gì cũng nhái nhái theo,0
bảo sao mỹ nó sợ trung quốc thế phải cấm vận gấp xem đồ của nó thua quái gì đồ mỹ đâu chưa muốn nói là trông còn xịn hơn mà giá nó còn đẹp hơn đồ mỹ rất nhiều,0
nếu mua để thay máy tính thì khó dù chỉ nhập văn bảnvì nền android nhập văn bảnexelpower point ổn chỉ có ofice của microsolf và wps oficenhưng đều tính phí hàng nămvà nó cũng không đủ các thao táclàm việc kiếm con surface vẫn ổn mua ofice bản quyền trở xuống xài vĩnh viễn trả lần vẫn ngon lànhnói chung xài tablet android để làm văn bản thấy hơi chán,0
không thích soc kirin tý nào,0
đã dùng qua và rất chán cài ap phải qua bên thứ số ap phục vụ công việc liên lạc với khách hàng không dùng được cài ap bank cũng không dùng được bàn phim dù cài laban key hay ap gõ tv thì vẫn thỉnh thoảng bị lỗi chữ do cài qua g box nên cảm giác tốn pin hơn khá nhiều à không hiểu sao bị delay thông báo nữa khuyên ae nào fan thì mua thôi còn không cứ ipad và samsung mà mua,0
tài nói đúng về chỗ đặt bút của mấy em s tab và ipad đặt khó chịu nên luôn phải mua kèm case về đặt sau lưng như s tab thì cấn lúc bỏ vào cặpbalo mà đặt trên cạnh máy thì cầm bị cấn như của ipad,0
giá hơn củ mà không hỗ trợ gogle service hơi bất hợp lý,0
anh ơi giờ em có khoảng triệu em với nhu cầu chụp hình và chơi vài trận pubg hoặc delta force thì xiaomi còn ổn không ạ,2
điểm yếu của máy tính bảng ở vn là zalo làm việc với zalo nhiều xin đừng dùng máy tính bảng,0
anh tài từng dùng chạy các file shetexcel có nhiều truy vấn và nhiều dòng chưa ạ,1
anh có thể chia sẻ về smoth motion của nvidia được không anh em nghe nói là tính năng này hỗ trợ cho cả dòng card series giúp tăng gấp đôi fps khi chơi game vậy khi sánh với multi frame gen thì ntm vậy ạ,2
điểm yếu của con này là không phải ipad,1
nếu ở bản thì cài microg ngon lành,1
link shope bạn để dưới mô tả là sản phẩm tr hả,0
đang dùng con bản cả phím bà bút là săn trên shope với giá này không có gì để chê với nhu cầu của học sinh,2
kiểu gì chả có trick hay ap thứ thay thế gogle vậy,0
mua matepad đang bán củ chí mạng là không có g ap chậm đến nổi đánh chữ cũng hiển thị lâu,0
màn hình mate như vậy nếu mua về cũng phải dán thêm cường lực lúc đó thấy nó cũng như những con tablet khác,2
thiếu gogle khó quá,0
không hiểu sao máy con pad của hưawei rất ít màu con này có màu đen thì đẹp,1
con này mà dùng mediatek dimensity chắc nhanh hơn nữa,2
xin thế chớ có khi gõ tiếng việt lại lỗi form đó,0
thiếu mỗi logo trái táo là thành đỉnh cao,0
mọi thứ đều tuyệt trừ,0
con này vẫn cài được file apk mà đúng không bạn bạn thử cầm khi nằm trên giường xài ổn không vậy,0
và có hỗ trợ xuất màng hình rời không anh ạ,1
và nó có tính năng ai nào không anh,2
em xài s thì kèm với cái tablet này ổn không anh tài,2
mới bấm vào link xem sản phẩm này trên shope và có giá là tr không what,0
thích sài microg cài ap native ổn hơn,1
z thì điểm yếu duy nhất là nó là huawei hở anh vậy,2
con nầy mình fix đầy đủ xài quá ngon tiếng việt đầy đủ,2
làm sao đăng ký mua điện thoai của shop em được,0
có sóng g không anh ơi,2
ngày vua đã bị soán ngôi turbo pro không,0
đang tính mua điện thoại tầm tr để chơi game ae giới thiệu giúp vài hãng nào ngon với,1
thấy bình luận nói bản không pin fix lỗi màn rồi ae nào dùng cho xin ý kiến,1
con này với samsung anh nên chọn nào vậy anh,2
đang phân vân con này với con realme neo se giá same nhau mà thấy cấu hình neo ngon hơn,2
bạn có thể test sử dụng g của nhà mạng không,1
lộ lộ,2
dùng đến giờ thấy không có gì để chê,2
con này có lên được g không anh nam,2
không biết chon con nao anh ơi,0
ủng hộ kênh nam béo,2
sao chơi lq fps hay z s chơi toàn,2
máy mới toàn không dùng được g chán,0
x sao ăn lại gt cũng là dòng gaming của honor lại còn toàn diện hơn làm máy chính được,0
anh nam ơi đang dùng p mà đổi gió xuống con ztbplus tầm hơn tr có hụt hẫng không em không chơi game,2
anh ơi iqo neo gipwf mua làm máy chính ổn không ạ em cảm ơm,2
chúc anh nam vui vẻ nha,2
tặng em iqo z turbo sài nha anh nam,2
em chờ iqo zx giảm còn m múc lun,2
trước định hốt em nó rồi nhưng thấy honor gt giá ngon cạnh bo tròn đẹp hơn nhưng pin thua à,0
con z turbo của em khi kiểm tra tài khoản của sim thì nó hiện lên bảng phải bật dữ liệucó cách khắc phục không anh nam,2
giá này tubo ngon hơn,2
con này tỉ lệ lưu màn có cao như bản pin không nhỉ,1
z endurance edition bị lỗi g ở vn nhá,0
mình quất redmi turbo pro vì thiết kế rồi,2
đang còm men bằng realme gt neo se sạc w giá mua củ pin là củ,0
đang cmt bằng iqo z turbo,2
bị lag khi xem youtube,0
giờ triệu đổ lại kiếm con opo chính hãng có g kg có luôn,0
quang trọng sài bên không vậy shop agalasi,0
cho em hỏi anh g so với bản anh lte thì bản lte vào mạng g có ổn không ạ,2
mặt lưng kim loại đó bácmáy mình mới bị xước lộ kim loại,0
mặt trước còn thì chịu rồi giờ còn ai thiết kế thế đâu,0
ê thấy anh camera không đẹp bằng anh á,2
anh dương ơi cho em hỏi là em tính mua chiếc điện thoại samsung chỉ xài cơ bản nghe gọi zalo mail xem youtube giải trí không chơi game em đang lưỡng lự con anh và anh anh cho em hỏi con nào ổn anh nhỉ em cảm ơn anh nhiều,2
màn hình giọt nước thời này ai mà mua,0
vãi cả không có jac cắm tai nge vậy thì lúc cần cắm tai nge thì làm sao,0
nếu đánh alain cả combo chiêu lúc cân tự nhiên bị drop fps xuống fps vì ngốn ram bằng gb ram tại mạng xã hội và bộ nhớ ram hệ thống chạy quá nhiều siêu lag đã đặt đồ họa trung bình và đã mở khóa fps,0
mặt lưng xấu hơn năm ngoái,0
máy mình sao không xem được không ạ máy mình là samsung anh g ạ,0
thich mẫu nay đep sang,2
chip không mạnh mà mẫu sang trong nhìn cứng chắc,1
anh dương cho hỏi vào trang samsung có tích xanh mà dẫn tới lazada thì mua hàng có chính hãng không cám ơn anh,1
mẹ cái điện thoại đẹp thế nhìn cái màn hình như thời cổ dày như cho người già dùng,0
bán máy không củ sạc vậy cấm vào nách sạc à,0
đẹp không biết có tặng sạc không,2
giống sony,0
nhìn cái viền màn hình chán chả buồn nói,0
mọi người ơi cho minh hỏi anh va anh con nao ổn áp lâu dài vậy xin cam on,2
thanks anh,2
giá này là do bọn tgdfpt và celphones nó luôn mắc hơn giá thực tế rất nhiều mày này bán tr chắc nó lời tr là ít,0
nên mua anh,2
sấu nhìn màn hình giọt nước viền dày ông samsung luôn ảo giá,0
lúc trước galaxy anh viền màn hình mỏng đẹp còn bây giờ mấy máy này viền dày thấy ghê anh tr mà viền dày thấy ớn cảm thấy sam sung làm viền bị thục lùi so ngày trước,0
tiền nào của nấy thôi tụi mày chê không mua thì vẫn có người khác họ mua vắng mợ thì chợ vẫn đông cứ cố tỏ ra là mình hiểu biết để làm gì,0
tr thì cố tr lên m có tr ngon thiết kế màn hình đẹp hơn con này,2
nhìn chán nhỉ,0
chê mạnh con này đầu x nhiều con ngon hơn,0
nhìn tưởng realme q pro đang dùng để cmt,2
pin xạc tiếngmới đầyvậy điện thoại có lỗi không anh,0
đáng lẽ trên củ thì phải nits chớ trong khi mấy con trước của samsung trên củ thì có nits rồi,0
hơn củ mà còn hz màn giọt nước,0
nhựa chứ còn cái gì nữa mà dóng nữa,0
mặt trước quá xấu,0
samsung mà giá rẻ xài hơi bị hồi hộp,2
nhìn mặt sau tưởng con sony vậy,2
vâng củ cho cái điện thoại màn hình giọt nướcằm dàysạc w,0
giá cao màn xấu quá,1
con này tgdđ bán gần tr vải thiệt,0
ban vn co ve dep hon toi thich hon do ban,2
ói,0
mặt sau đang ưng quay sang mặt trước ôi thôi nghỉ nghỉ ngay lập tức,0
thời này mà mành hình dầy với giọt nướcthua xa với xiaomi,0
con redmi note pro đập chết tươi,2
điểm số cỡ helio g cpu cao hơn một chút,0
chíp exynot được trang bị từ thời con m rồi m trang bị có gb ram nên chạy đa nhiệm hơi bí một tý,2
nhìn giá bán thôi bỏ qua luôn không cần bình loạn gì thêm,1
samsung nó coi thường người dùng màvì doanh số nó bán được nên ai mua thì muakhông mua thì thôinó đâu cần,0
con này quá trong tầm giá,2
thêm tí mua anh ăn đứt luôn em này,0
samsung lỏ giờ sử dụng dây chuyền cũ cho những sản phẩm mà samsung lỏ bảo là mới nhất của mình mà,0
đời thì mới đó chứ mà quất xsm g thì vẫn ngon hơn,2
anh vả chết tươi con này,2
ram thì khá ngon rồi,2
tr mà nhìn mặt trước hơi chán,0
máy này và anh cái nào hơn,0
gần củ mua con máy khác oke hơn,0
thương hiệu dành cho người thừa tiền còn bình thường thương hiệu eo quan trọng giờ mà còn thương hiệu là toang rồi,0
ngoài cái thương hiệu thì thua điện thoại tq hết,0
thế kỷ năm tr dùng màn hình hd hz màn giọt nước không củ sạc nhưng không hiểu sao người dùng vẫn lao đầu vào các hãng iphone với s làm gì,0
thực sự nhìn cái màn giọt nước thấy chán thạt sự,0
mua bia kèm lạc kiểu này đúng là mất dạy tôi là đek mua mấy cái thể loại kiểu này thà xài hàng trung quốc,0
không kèm sạc là không thích rồi,0
chào anhem có câu hỏi ạ điện thoại hàng bảo hành điện tử là gì và có nên mua hàng bảo hành điện tử koe định mua con samsung anh g bhđt của didongviet,1
màn cùi bắp không có củ sạc,0
cái giá củ thôi là không ưa rồi tầm đó mua hẳn galaxy anh ngon gấp lần con này,0
hơn củ màn giọt nước giá này làm con anh new hoặc anh lướt ngon hơn nhìu,2
điện thoại giá siêu rẻ chỉ củ màn siêu thời thượng giọt nước cằm siêu mỏng chỉ gần cm chíp siêu ngon em xịp lốp chỉ có thể là samsung cái đkm,0
mức giá thế này cố lên tí lấy m nếu muốn mua thì chắc đợi thêm vài tháng,2
giá rẻ cứ hàng trung quốc mà mua hàng chính hãng có thuế rồi mua dùng vn cũng giàu có mà,2
thà mua con anh còn ngon hơn,0
cái màn hình giọt nước là thấy không muốn mua rồi,0
để chạy như anh phải chờ đẩy hàng xong anh vài tháng nữa lúc đó chưa tới tr đã có bản g gần tr chắc chắn bản g s nhiều lô có made in vn đấy đóng góp cho nước nhà chứ máy tàu mua xong chả có cái vẹo gì,0
má qc vivo thoát ra lần vẫn dính,0
hình như ở một số thị trường đặc biệt thì có củ sạc đi kèm hay sao á,1
cáp chị to chị nhìn chán nhỉ có rãnh ở giữa thế kia nhìn y mấy dây cáp không không ấy vậy,0
anh với anh chắc chơi game fre fire tốt chứ nhỉ,2
go có snap x là đỉnh luôn,2
cái này xài cad cơ bản được không bạn,1
còn này dân sale xài là chuẩn luôn đem ra slide catalog cho khách xem máy nhỏ gọn xài window cảm ứng ổn định,2
shop chuyên bán surface mà đọc thông tin độ phân giải còn sai nữa chán thiệt,0
ai nói dùng đồ aple giàu chứ mình thấy mấy ng dùng surface giàu gấp mấy lần họ có thể bỏ tiền ra mua một sản phẩm với chất lượng không xứng đáng với giá tiền,0
helo ad mình định mua surface pro dùng tác vụ vp và edit d nhẹ cơ bản không làm chuyên nghiệp thì okie không ạ mình đang phân vân giữa go và pro surface xài lâu có cần tháo ra vệ sinh quạt tản nhiệt không ạ,2
anh chào em nhé,2
giờ còn tr,1
màn cong hay màn phẳng vậyb,1
vĩnh vật vờ jìvưiđt là quá đỉnh,2
củ mà không có cam tele vãi xiaomi,0
èo màn oled,0
con mi này màn hình với con s thì con nào hơn nhỉmong được bạn trả lời,1
oh he is standing,1
mlem,2
được màn hình đẹp,2
thu âm không được tốt lắm,0
minh cực thíc xài xiaomi vỏ hộp kim nhôm rất đep nói chung có cái gì đó rất độc đáo như con m se là môt kỷ niệm tôi đã xài năm rồi vẫn oke mong xiaomi ra nhiều may chất và quan trọng là vỏ hộp kim nhôm đẹp hơn nữa,2
mi chống rung điện tử phê vãi luôn màu có vẻ không lại được samsung loa phê đỉnh nhất xiaomi rơi mà không hỏng màn hình như samsung và iphone,2
từ khi dùng con miw là trong đầu tôi đã loại bỏ ngay cái ý nghĩ sẽ mua iphone hay s rồi gần chục năm chỉ mua xiaomi và bjo đang dùng không,0
trong con này con nào chơi liên quân tốt hả mọi người,1
máy này sài lâu dài tầm đến năm được không anh em chủ yếu chơi game ạ,2
con này với rog nên mua con nào nhỉ,1
sắp mua luôn nè,2
hiện tại còn nên mua mi không anh nhỉ đang tính hốt em mà thấy có mấy cái lỗi wifi không biết thế nào nhỉ,0
thực sự mi ngon ở cái sạc nhanh còn thua iphone và samsung kháng nước mi giá oke hơn s và iphone có thương hiệu nổi tiếng,2
đang xem nè ôg cô,2
huwei làm điện thoại tốt hơn mì xào nhưng không có ch play,2
bữa trưa ổn nhỉ,2
bây giờ mua xiaomi mi còn ổn không anh,2
đang dùng mi về thiết kế đẹp nhưng hoàn thiện chưa cao vì màn hình và khung vẫn có khe hở khá to,1
cuối cùng không hợp với mình,0
câu trả lời là không nhé năm sau trump comeback thì con này sẽ trở về thời đồ đá tiếp,2
choi pubg fps mà còn drop thì bỏ tiền mua làm gi,0
nói xám xịt làm con bé hụt hẫng,0
rất thích con này và đã mua iphone,2
hay thế so sánh đúng máu em thích đang đau đầu đây,2
dùng ngon màn ngon nhưng tác vụ bình thường ma cũng nóng máy vch thề xem tiktok với facebook nghe nhạc thôi máy nóng ran chơi game cái quạt thốc vào mới mát,0
sau vài tháng tụt giá còn hơn tụt quần,0
con nay chua xung danbg t được,0
bằng giá với s và iphone tính ra so trải nghiệm thì nên mua đấy,2
đang dùng con redmi note để xem clip và coment đang chán ngấy con splus với con chíp exy tưng tưng giựt giựt định đổi sang mi để cảm nhận con chíp snap,0
những thứ xiaomi cắt bớt như cổng typec chỉ hỗ trợ usb thay vì cổng m khe cắm thẻ nhớ camera tele và mọi người ít để ý tới nữa là cảm biến lấy nét trên camera,0
tôi thích công nghệ mới nhiều hơn thay vì thương hiệu,2
payo xinh thế tên gì không biết,2
cong như vậy mình có thể dán màn hình được không anh,2
không có cái gì thuyết phục để bỏ tiền mua em này cả,0
bạn đang xài xiaomi ha,1
nhìn ngon lắm nhưng tầm tr mua luôn,2
có gogle không ạ mọi người,1
mlem,2
hiện tại còn tr why,2
vât vờ anh con nhớ review con masgo vi của việt nam không anh em luc đo chi là sinh viên vì tin tưởng kênh của anh nên mua chiếc đo thât là thất vọng em thê chi xem clip của anh thôi chứ không tin cách anh review được nữa,0
mọi ng có tin không tui bán promax mua con này dư ra triệu để dành xài phê hơn pro max thật mấy má ơi,2
máy nướng chứ không phải đ thoại dùng camera phút nóng vãi,0
ô sếp đeo nhẫn thế kia,2
game bắn súng trong bài rw tên gì vậy ạ,2
có tiếng việt không anh,2
chọn máy android đời cao nhiều cái dùng thích hơn,0
điện thoại cao cấp mà chống nước kém thì vứt,0
samsung galaxy gì so với xiaomi mi g con nào màn hình sáng hơn vậy anh,2
tr thì cứ sam sung xài chíp snapdragon với aple mà quất tàu thì chỉ có tr thôi,0
eo liên quan,1
thấy bảo con chip máy này nóng lắm,1
muốn mua máy nào thì đều xem kênh của bạn trước review rất chất và thực tế,2
nhìn gốc màn hình thấy bựa vãi,2
anh ơi sao điện thoại em bật loa nó nói điện thoại cứ rung rung,0
snap sắp có sony i để cạnh tranh rồi,2
hm chắc là mua trải nghiệm,2
tuyệt,2
theo mình nhìn xấu hơn s với iphone,0
mình dị ứng với điện thoại tàu dù tốt đến mấy cũng không thích,0
gia qua caoko co chong nuocko nen mua,0
không hiểu sao thấy người bắc review hay hơn người nam,2
tr mua iphone đẳng cấp hơn,2
muốn biết cái nào mạnh test thử game võ lâm truyền kỳ mobile lúc sv mới ra danh tướng là biết ngày,2
cách bảo vệ màn hình cong mi như thế nào anh,2
tôi sẽ chọn mi để chải nhiêmk,2
máy tàu tr mà chống nước cùi bắp thì,0
aple không phải của mỹ thì ăn luyện mà đứng đầu chơi bẩn thằng huawer,0
bữa trưa á trông ngon đấy,2
nhưng nhiều người mua iphone không phải vì cấu hình khủng mà đơn giản chỉ là sự đẳng cấp mà họ nhận được,2
có ae nào dùng mi chơi game xong bị tối cạnh dưới màn hình không,0
đẹp quá mình sẽ bớt tiền đổi sang nokia,2
mua đồ china nó theo dõi mình ăn cắp thông tin cá nhân mình đấy,0
mới ra nên thích lắm tiếc đang dùng không pro g chíp rồi muốn em nó mà đéo có tiền chạy theo,2
bữa trưa ngon thế,2
god,2
mi đắt vãi đang dùng snap ram gb android chơi liên quân vẫn ngon ngào mới mua con mi này,0
méo bao giờ ủng hộ hàng tàu dù nó ngon,0
đời tui thấy exynox là không ưa rồi,0
đang xem videos bằng redmi not x vẫn mượt mà,2
tuổi gì với samsung,2
sao con redmi note pro có kháng nước mà con mi này lại không có kháng nước,0
mơ lem mờ lem xiaomi làm rất tốt quyết định làm iphone,2
gengar mua o dau dep vay anh,2
chắc chắn sẽ mua,2
mà cái cụm camera nhìn xấu quá mi,0
sao thấy cụm cam nó xấu dã man,0
củ thì cứ iphone mà phang,0
tr cứ iphone và sam sung mà dung,0
samsung iphone thôi xi trung vứt,0
xiaomi có chống nước không ạ,2
hú,2
khàn cả giọng làm việc giữ sk nhé anh,2
mlem,2
nhắc lần này thôi nhá đừng chạm vào payo của chúng tôi,0
ảo quá nó làm sao mak cùng hàng với iphone samsung được,0
vinh xô là vô sinh,2
noi chung la mlem,2
ngon có thể mua,2
con này ngon quá mà thực sự khá khó chịu cái góc bo màn hình không đồng bộ với khung máy,0
xiaomi mic còn rè không nhể,1
camera quay video rất tệ nó nháy focus và nháy sáng liên tục em đang xài phục vụ công việc đây hy vọng cập nhật pb fix được hơi thất vọng,0
có pm xoá rác không,1
sản phẩm ế độ,0
tiếc cái kháng nước quá tệlỡ rớt xuống nước ngõm củ,0
rất ít người mua với giá tr đối với thương hiệu tầu,0
chắc đây là tân binh đắt nhất của hãng,0
xấu vãi đạn,0
nếu là tr muốn được trải nghiệm đỉnh hơn thì nên chọn mi không hay có lựa chọn khác,1
không có chỉ số kháng nhưng rớt vào tô nước vẫn xài như không có gì vậy,0
đợi nó rớt xuống tr về giá trị thực của nó rồi muak,0
điện thoại này tải được ứng dụng ap facebok được không,2
nói thật iphone vẫn là số,2
tưởng nhà có gì lạ giật cả mình,1
hậu kỳ âm thanh tệ nghe lúc to luc nhỏ rất khó chịu,0
anh vinh khen không ngớt lời luôn,2
